Designator,Mid X,Mid Y,Rotation,Layer
C1,152.38,-110.0,0.0,top
C10,144.6657,-111.506,270.0,top
C11,147.8661,-99.7712,90.0,top
C12,144.3101,-99.7204,90.0,top
C13,147.9677,-111.506,270.0,top
C14,151.9301,-104.4448,0.0,top
C15,143.1417,-99.695,90.0,top
C16,140.3731,-97.4852,0.0,top
C17,172.12,-108.0732,0.0,top
C18,172.11,-109.32,0.0,top
C19,155.0289,-104.4956,270.0,top
C2,155.0289,-107.5944,270.0,top
C20,158.7627,-102.2604,180.0,top
C21,132.3213,-105.6894,0.0,top
C22,132.3213,-107.3404,0.0,top
C23,172.1231,-102.4128,0.0,top
C24,172.1231,-103.6828,0.0,top
C25,172.1231,-104.9274,0.0,top
C26,160.2105,-104.5718,90.0,top
C27,160.4509,-108.5342,180.0,top
C28,172.1113,-106.5022,0.0,top
C3,139.8905,-104.1908,180.0,top
C4,139.8905,-103.0732,180.0,top
C5,151.9301,-103.3526,0.0,top
C6,143.5481,-111.506,270.0,top
C7,149.0853,-111.506,270.0,top
C8,146.8755,-111.506,270.0,top
C9,145.7579,-111.506,270.0,top
CDONE0,163.052411,-112.086775,270.0,top
CHG0,127.6223,-110.998,0.0,top
D1,167.6527,-98.9838,0.0,top
J1,125.545,-105.0036,270.0,top
J2,134.0231,-98.2248,0.0,top
J3,156.23,-111.82,180.0,top
JP1,159.8295,-97.8154,90.0,bottom
JP2,162.3695,-97.8154,90.0,bottom
JP3,164.8587,-97.8408,90.0,bottom
JP4,169.4053,-98.806,90.0,bottom
R1,131.6863,-101.4476,270.0,top
R10,139.3317,-111.5488,90.0,top
R11,151.9301,-105.537,180.0,top
R12,156.7561,-108.2802,0.0,top
R13,132.8039,-108.9152,0.0,top
R14,133.9215,-111.5568,270.0,top
R15,140.4239,-101.981,0.0,top
R16,128.69,-96.38,90.0,top
R2,159.1691,-107.0864,0.0,top
R3,156.7815,-107.1118,0.0,top
R4,124.8029,-110.998,0.0,top
R5,124.8029,-99.0092,0.0,top
R6,156.2147,-101.1936,180.0,top
R7,156.2053,-102.2604,0.0,top
R8,138.7903,-106.426,180.0,top
R9,138.7903,-105.3846,180.0,top
U$1,148.34235,-105.0036,90.0,top
U$2,134.4041,-104.1654,180.0,top
U$3,145.6555,-105.4346,180.0,top
U$4,136.4201,-111.4358,0.0,top
U$5,157.3497,-98.7866,0.0,top
U1,137.2557,-102.3008,180.0,top
U2,131.6101,-111.125,180.0,top
U3,157.5435,-104.4956,0.0,top
U4,140.3985,-99.7712,0.0,top
U6,166.2811,-105.0036,0.0,top
U7,138.1633,-108.1024,0.0,top
USER1,127.9851,-98.9,180.0,top
Y1,152.3365,-107.7214,0.0,top
